"Внешний ID","категорія","назва укр","назва рос","ціна"
"","","","Ниппель внешняя резьба/сварка 1,4404 н/ж 1/2"" DN15","0.0000"
"","","","Патрубок CLAMP н/ж 1,4404 DN65 DIN32676","0.0000"
"","","","Переходник конц. н/ж 1,4301 DN65/40 DIN11852","0.0000"
"","","","Труба н/ж 1,4307 52х1,5 DIN11850","0.0000"
"","","","Труба н/ж 1,4307 70х2 DIN11850","0.0000"
"","","","Труба н/ж 1,4307 12х1.5 DIN11850","0.0000"
"","","","Уплотнитель CLAMP EPDM DN65 DIN32676","0.0000"
"3772","","Хміль SAPHIR, 5 кг","Хміль SAPHIR, 5 кг","1.0000"
"3796","","Хмель Цитра (Citra)","Хмель Цитра (Citra)","1.0000"
"АТС-120","Вимірювальні прилади","Рефрактометр для пива 0-32% Brix","Рефрактометр для пива 0-32% Brix","740.0000"
"3819","Солод для пива","Солод житній BEST Rye Malt","Солод житній BEST Rye Malt","1.0000"
"","","","Пальма новогодняя","1.5000"
"","","","Олень Рождественский","50.0000"
"","","","Мешок с подарками","10.0000"
"04.03.27","Хміль для пива","Хмель  Citra® (USA) 50 гр., α-12.5%","Хмель  Citra® (USA) 50 гр., α-12.5%","240.0000"
"26820","Тара и упаковка","","Бутылка BeerLM 500ml  (коричневая) под бугель","6.0000"
"","Тара и упаковка","Крышка бугельная пластик","Крышка бугельная пластик","7.0000"
"200933","Солод для пива","Солод карамельний BEST Caramel® Aromatic","Солод карамельний BEST Caramel® Aromatic","90.3000"
"00946","Тара и упаковка","","Рулон для вакуумування гофрований 150 х 6000 мм","65.0000"
"3918","Вимірювальні прилади","Термометр самоклеючий 18-34 С","Термометр самоклеючий 18-34 С","50.0000"
"3925","Солод для пива","Солод BEST Munich Dark","Солод BEST Munich Dark","79.5000"
"3949","Пивні КЕГи та комплектуючі","Міні КЕГ 5л з краном","Міні КЕГ 5л з краном","590.0000"
"33966888803","Пивні КЕГи та комплектуючі","Пробка з клапаном для міні КЕГ 5 л","Пробка з клапаном для міні КЕГ 5 л","20.0000"
"060938030100","Пивні КЕГи та комплектуючі","Ручка для міні КЕГ 5л","Ручка для міні КЕГ 5л","25.0000"
"420000593100","Тара и упаковка","мини КЕГ 5 Л серебристый","мини КЕГ 5 Л серебристый","190.0000"
